Description,POA_l,POA_u,CS,PvsG,day_only,Metric,Freq,Method,slope,intercept,PLR,uncertainty
PvsPOA_CS20_POA0_PRt_W,0,,CS20,1,0,PRt,W,YOY,,,-0.0061179830057601,0.0044961281703167
PvsPOA_CS20_POA5_PVUSA_W,5,,CS20,1,0,PVUSA,W,YOY,,,-0.0092411860622807,0.0052805793172908
POA20_PVUSA_W,20,,,0,0,PVUSA,W,YOY,,,-0.012154836619318,0.0086767401174714
PvsPOA_POA50_huld_W,50,,,1,0,huld,W,YOY,,,-0.0122021889750848,0.006263118709194
PvsPOA_POA800_P_W,800,,,1,0,P,W,YOY,,,0.0017050366517347,0.0222203934771031
POA200_PRt_W,200,,,0,0,PRt,W,YOY,,,-0.0066898763179779,0.0060529798028282
PvsPOA_POA800_PR_W,800,,,1,0,PR,W,YOY,,,-0.0049220061687767,0.0113899861223935
CS20_POA50_huld_W,50,,CS20,0,0,huld,W,YOY,,,-0.0070505165507529,0.0093895763239127
PvsPOA_POA200_PI_W,200,,,1,0,PI,W,YOY,,,-0.0063039326282203,0.0062167046044393
CS20_POA5_P_W,5,,CS20,0,0,P,W,YOY,,,-0.0088138420466142,0.0245764883702013
PvsPOA_CS20_POA500_PVUSA_W,500,,CS20,1,0,PVUSA,W,YOY,,,-0.0081400898588956,0.0062667544318659
PvsPOA_POA20_PI_W,20,,,1,0,PI,W,YOY,,,-0.0097568136341166,0.0037715931465683
PvsPOA_CS20_POA100_P_W,100,,CS20,1,0,P,W,YOY,,,-0.0172318301271556,0.0205145065353887
PvsPOA_CS20_POA800_PR_W,800,,CS20,1,0,PR,W,YOY,,,-0.0048803126394266,0.0127142687852813
POA5_PRt_W,5,,,0,0,PRt,W,YOY,,,-0.0086370990122103,0.0043072318532717
CS20_POA50_P_W,50,,CS20,0,0,P,W,YOY,,,-0.0150447670179557,0.0251892542421335
PvsPOA_POA100_PR_W,100,,,1,0,PR,W,YOY,,,-0.0096770329777442,0.0118393936970163
