Description,POA_l,POA_u,CS,PvsG,day_only,Metric,Freq,Method,slope,intercept,PLR,uncertainty
PvsPOA_POA800_huld_W,800,,,1,0,huld,W,YOY,,,-0.0065684021322553,0.0023146652468452
PvsPOA_CS20_POA0_PR_W,0,,CS20,1,0,PR,W,YOY,,,-0.0108549778030889,0.003162243094727
PvsPOA_POA5_huld_W,5,,,1,0,huld,W,YOY,,,-0.0102853714777131,0.0030303748470111
CS20_POA50_PRt_W,50,,CS20,0,0,PRt,W,YOY,,,-0.0070528328579391,0.0029677759122977
POA500_PI_W,500,,,0,0,PI,W,YOY,,,-0.0077328889196452,0.0022348552701286
PvsPOA_CS20_POA800_PI_W,800,,CS20,1,0,PI,W,YOY,,,-0.0056729001818962,0.0025805128070543
CS20_POA50_PVUSA_W,50,,CS20,0,0,PVUSA,W,YOY,,,-0.0090698379711963,0.0045636236024995
PvsPOA_CS20_POA5_huld_W,5,,CS20,1,0,huld,W,YOY,,,-0.0069203049024802,0.0034517961531636
CS20_POA20_PVUSA_W,20,,CS20,0,0,PVUSA,W,YOY,,,-0.0095382597889861,0.0049362265356788
PvsPOA_CS20_POA800_PRt_W,800,,CS20,1,0,PRt,W,YOY,,,-0.0056873844318955,0.0025356820008825
CS20_POA500_P_W,500,,CS20,0,0,P,W,YOY,,,-0.016898076649946,0.0114252731565516
POA0_huld_W,0,,,0,0,huld,W,YOY,,,-0.0088121121463107,0.0052349128813113
PvsPOA_CS20_POA20_PRt_W,20,,CS20,1,0,PRt,W,YOY,,,-0.0092082299954807,0.002350113542896
POA5_PR_W,5,,,0,0,PR,W,YOY,,,-0.012399602852099,0.0057730731376097
CS20_POA0_huld_W,0,,CS20,0,0,huld,W,YOY,,,-0.0109316798233279,0.0057739380877615
PvsPOA_POA50_PI_W,50,,,1,0,PI,W,YOY,,,-0.0120372913597086,0.0022606278526172
CS20_POA200_PI_W,200,,CS20,0,0,PI,W,YOY,,,-0.0066965320360949,0.0022195793708379
POA0_P_W,0,,,0,0,P,W,YOY,,,-0.0200415107439149,0.0179333780011076
CS20_POA500_huld_W,500,,CS20,0,0,huld,W,YOY,,,-0.0066890846686864,0.0029530570995454
POA50_P_W,50,,,0,0,P,W,YOY,,,-0.0194455747495121,0.0155151576968537
PvsPOA_POA20_PR_W,20,,,1,0,PR,W,YOY,,,-0.0120093197514104,0.0036461020737002
PvsPOA_POA0_PRt_W,0,,,1,0,PRt,W,YOY,,,-0.011244469254486,0.0026291900758714
CS20_POA500_PRt_ME,500,,CS20,0,0,PRt,ME,YOY,,,-0.007038414478302,0.0033900737762451
CS20_POA50_huld_ME,50,,CS20,0,0,huld,ME,YOY,,,-0.0067916790970036,0.0084016654497938
PvsPOA_CS20_POA20_PI_ME,20,,CS20,1,0,PI,ME,YOY,,,-0.0085996687412261,0.0026570856571197
